zone,hour,load,thermal,hydro,renewable,storage_charge,storage_discharge,dc_injection,line_import,line_export,curtailment,load_shed
鄂东,23,21986.827999999998,8253.554059999999,12.775839999999999,1507.1417,0.0,0.0,3730.44,8482.916400000002,0.0,0.0,0.0
鄂西,0,11327.232,6835.0,11238.150800000001,345.2001,0.0,0.0,0.0,2000.0,9091.118900000001,0.0,0.0
鄂西,1,10639.86,7155.0,9211.349600000001,305.1769,0.0,0.0,0.0,2000.0,8031.666500000001,0.0,0.0
鄂西,2,10038.924,8155.0,7721.206999999995,170.8133,0.0,0.0,0.0,2000.0,8008.096299999994,0.0,0.0
鄂西,3,9658.194,7155.0,7517.927000000055,144.36939999999998,0.0,0.0,0.0,2000.0,7159.102400000056,0.0,0.0
鄂西,4,9668.484,8154.999999999993,8233.607000000015,105.77560000000001,0.0,0.0,0.0,2000.0,8825.898600000008,0.0,0.0
鄂西,5,9577.931999999999,6154.999999999993,7396.966999999995,76.4729,0.0,0.0,0.0,320.52750000000015,4371.035399999988,0.0,0.0
鄂西,6,9810.486,8154.999999999993,7396.966999999995,105.06089999999999,0.0,0.0,0.0,2000.0,7846.5418999999865,0.0,0.0
鄂西,7,10073.91,7594.86018,8638.486999999997,314.4057,0.0,0.0,0.0,2000.0,8473.842879999998,0.0,0.0
鄂西,8,11450.712,6536.9888,10005.054999999998,437.0457,0.0,0.0,0.0,2000.0,7528.3775,0.0,0.0
鄂西,9,12101.039999999999,6445.095999999998,11052.348599999994,594.8565000000001,0.0,196.18126380002582,0.0,1103.4676852499977,7290.910049050018,0.0,0.0
鄂西,10,11963.154,7154.999999999998,11778.735270000006,1182.4295000000002,0.0,0.0,0.0,2000.0,10153.010770000008,0.0,0.0
鄂西,11,12088.692000000001,8155.0,9458.119970000007,2857.9544,0.0,0.0,0.0,2000.0,10382.382370000007,0.0,0.0
鄂西,12,11594.772,5639.999999999991,7396.966999999995,4236.9403999999995,338.8888888888889,0.0,0.0,2000.0,7340.246511111096,0.0,0.0
鄂西,13,11121.432,7154.999999999993,7396.966999999995,4063.9445,1500.0,0.0,0.0,0.0,5994.479499999987,0.0,0.0
鄂西,14,10845.66,8155.0,8638.486999999997,3530.0489,0.0,0.0,0.0,2000.0,11477.8759,0.0,0.0
鄂西,15,10903.284000000001,6639.999999999993,7396.966999999995,3378.8824999999997,542.1990911111429,0.0,0.0,0.0,5970.366408888842,0.0,0.0
鄂西,16,11078.214,6225.0149761111215,7396.966999999995,2754.584,0.0,0.0,0.0,2000.0,7298.351976111116,0.0,0.0
鄂西,17,11864.37,8155.0,9938.061170000003,1945.09,0.0,0.0,0.0,2000.0,10173.781170000002,0.0,0.0
鄂西,18,12652.584,6640.0,13786.160565000004,1671.5964999999999,0.0,0.0,0.0,0.0,9445.173065000004,0.0,0.0
鄂西,19,12909.833999999999,8155.0,10829.753810000007,1703.0678,0.0,472.5,0.0,1442.9369300000017,9693.424540000009,0.0,0.0
鄂西,20,12856.326000000001,6338.3724,13531.568985000005,1950.7803,0.0,450.0,0.0,0.0,9414.395685000003,0.0,0.0
鄂西,21,12726.671999999999,7155.0,13132.790480000001,2054.0478,0.0,0.0,0.0,0.0,9615.166280000001,0.0,0.0
鄂西,22,11911.704,7791.8496,8796.965750000005,2118.3708,0.0,810.0,0.0,220.6347499999997,7826.1169000000045,0.0,0.0
鄂西,23,11253.143999999998,6564.9056,8638.486999999997,1943.2693,0.0,0.0,0.0,0.0,5893.517900000001,0.0,0.0
鄂西北,0,6555.264,0.0,1867.67775,44.073750000000004,0.0,0.0,7400.0,0.0,2756.4874999999993,0.0,0.0
鄂西北,1,6157.47,0.0,1637.27775,38.963750000000005,0.0,0.0,7400.0,0.0,2918.771499999999,0.0,0.0
鄂西北,2,5809.698,0.0,1453.67775,21.80875,0.0,0.0,7400.0,0.0,3065.7884999999997,0.0,0.0
鄂西北,3,5589.363,0.0,1453.67775,18.4325,0.0,0.0,7400.0,0.0,3282.7472499999994,0.0,0.0
鄂西北,4,5595.318,0.0,1453.67775,13.505,1369.542590000009,0.0,7400.0,97.67784000000938,2000.0,0.0,0.0
鄂西北,5,5542.914,0.0,1453.67775,9.76375,0.0,0.0,7400.0,0.0,3320.5275,0.0,0.0
鄂西北,6,5677.497,0.0,1453.67775,13.41375,0.0,0.0,7400.0,0.0,3189.5944999999992,0.0,0.0
鄂西北,7,5829.945,0.0,1453.67775,28.79303,0.0,0.0,7400.0,0.0,3052.5257799999995,0.0,0.0
鄂西北,8,6626.724,0.0,1952.8777499999999,44.805865000000004,0.0,1365.8320850000046,7400.0,0.0,4136.791700000004,0.0,0.0
鄂西北,9,7003.08,0.0,2021.0377500000066,64.24519500000001,0.0,1621.2647402499917,7400.0,0.0,4103.467685249998,0.0,0.0
鄂西北,10,6923.283,0.0,1867.6777499999998,86.42027999999999,0.0,0.0,7400.0,0.0,2430.8150299999957,0.0,0.0
鄂西北,11,6995.934,0.0,1453.67775,162.02838,0.0,0.0,7400.0,0.0,2019.7721299999996,0.0,0.0
鄂西北,12,6710.094,0.0,1453.67775,231.340045,1350.0,0.0,7400.0,975.0762050000003,2000.0,0.0,0.0
鄂西北,13,6436.164,0.0,1453.67775,234.787915,1652.3016649999995,0.0,7400.0,2000.0,3000.0,0.0,0.0
鄂西北,14,6276.570000000001,0.0,1453.67775,229.041875,1904.4405249999954,0.0,7400.0,1098.2908999999963,2000.0,0.0,0.0
鄂西北,15,6309.918000000001,0.0,1453.67775,240.95135499999998,1077.0149038271516,0.0,7400.0,1292.3037988271524,3000.0,0.0,0.0
鄂西北,16,6411.153,0.0,1453.67775,212.66868,408.8094461111115,0.0,7400.0,0.0,2246.383983888888,0.0,0.0
鄂西北,17,6866.115,0.0,1867.6777499999998,173.15398,0.0,0.0,7400.0,0.0,2574.71673,0.0,0.0
鄂西北,18,7322.268,0.0,1824.47775,185.404785,0.0,0.0,7400.0,912.3854650000007,3000.0,0.0,0.0
鄂西北,19,7471.143,0.0,2057.9881500000024,206.09178,0.0,2250.0,7400.0,0.0,4442.936930000002,0.0,0.0
鄂西北,20,7440.177000000001,0.0,1867.67775,238.073365,0.0,0.0,7400.0,934.425885000001,3000.0,0.0,0.0
鄂西北,21,7365.143999999999,0.0,1561.67775,262.2525,0.0,474.2115700000002,7400.0,667.0021799999995,3000.0,0.0,0.0
鄂西北,22,6893.508,0.0,1867.67775,270.465,0.0,576.0,7400.0,0.0,3220.6347499999997,0.0,0.0
鄂西北,23,6512.387999999999,0.0,1453.67775,248.10875,0.0,0.0,7400.0,410.6014999999993,3000.0,0.0,0.0
